lr,ag,lc,dt,cr,rg,rc,tg,tc,cc,wd,ld,fd,dw,py,mt,mn,p1,lr,ag,lc,dt,cr,rg,rc,tg,tc,cc,wd,ld,fd,dw,py,mt,mn,p1,p2,pd,pf,wk1mc,wk2mc,w1,w2,w3,w4,w5,w1t,w2t,w3t,w4t,w5t,dc,lt,ll3,ll2,ll1,d2l,d1l,lbx,sr,adj1,adj8,ad1,ad8,iw,al,ldiv
,,,,,,,,,,,,,,,,,,L2,5,A,1800,C+3,a4,r9,g5,t22,0,0,1,10,7,0,0,0,0,0,0,5,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,70,-0.75,-1.5,-1.25,-0.5,0.25,1.2,8,24.17,49.36,24.01,49.2,0,120,10
,,,,,,,,,,,,,,,,,,L1,6,A,1800,C+3,g1,r14,g5,t21,0,5,-3,7.4,10,1,0,0,3,1,-1,9,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,17,-5,-4.5,-3.75,1.25,0.75,-0.23,5,23.53,46.79,23.43,46.69,7.6,127,15
,,,,,,,,,,,,,,,,,,L2,6,A,1800,C+3,g1,r14,g5,t21,0,5,-5,7.4,10,1,0,0,-1,-2,4,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,80,-6,-7.5,-7.5,-1.5,0,0.31,8,23.86,47.91,23.64,47.69,0,127,5.4
,,,,,,,,,,,,,,,,,,L3,6,A,1800,C+3,g1,r14,g5,t21,0,5,1,7.4,10,1,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,dd,108,-5.25,-4,-6.75,-1.5,-2.75,-0.45,10,24.98,49.21,24.7,48.93,29.6,127,37
,,,,,,,,,,,,,,,,,,L3,6,A,1800,C+3,g3,r24,g4,t16,0,7,0,16,8,1,0,0,0,0,0,5,0,0,0,0,0,22.5,0,FALSE,FALSE,FALSE,TRUE,FALSE,dd,108,-6.5,-4.25,-3.5,3,0.75,-0.06,2,24.39,48.46,24.13,48.2,0,127,7.5
,,,,,,,,,,,,,,,,,,L2,6,A,1800,C+3,g3,r24,g4,t16,0,7,1,16,8,1,0,0,3,-1,3,7,0,0,0,0,0,22.5,0,FALSE,FALSE,FALSE,TRUE,FALSE,ts,80,-6.75,-3.75,-0.12,6.63,3.63,0.15,2,23.22,46.55,23.2,46.53,0,127,7
,,,,,,,,,,,,,,,,,,L1,6,A,1800,C+3,g3,r24,g4,t16,0,7,-2,16,8,1,0,0,-1,0,1,11,0,0,0,0,0,22.5,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,17,-6.5,-6.5,-5.5,1,1,-0.11,4,23.55,46.89,23.41,46.75,0,127,6
,,,,,,,,,,,,,,,,,,L1,6,A,1800,C+3,g1,r15,g3,t13,0,-16,-1,19,4,1,0,0,0,2,-1,11,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,10,-8.25,-4.5,-6.5,1.75,-2,-0.76,10,23.47,46.52,23.79,46.84,60,126,79
,,,,,,,,,,,,,,,,,,L2,6,A,1800,C+3,g1,r15,g3,t13,0,-16,-3,19,4,1,0,0,0,-1,-5,5,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,77,-3,-4.25,-8.25,-5.25,-4,0.21,10,23.71,48.47,24.49,49.25,0,126,17
,,,,,,,,,,,,,,,,,,L3,6,A,1800,C+3,g1,r15,g3,t13,0,-16,-6,19,4,1,0,0,-1,-2,-4,5,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,105,-3,-3.25,-8,-5,-4.75,-0.23,11,24.36,49.19,24.94,49.77,0,126,7.3
,,,,,,,,,,,,,,,,,,L1,5,A,1800,C+3,a4,r12,g5,t18,0,7,-3,36,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,70,-6,-4.75,-3.5,2.5,1.25,1.41,3,23.66,48.65,23.52,48.51,84,124,120
,,,,,,,,,,,,,,,,,,L3,5,A,1800,C+3,a4,r12,g5,t18,-1,7,8,36,5,0,0,0,-2,-2,2,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,178,-8.25,-7.5,-6.5,1.75,1,-0.58,6,24.15,47.2,23.79,46.84,350,124,386
,,,,,,,,,,,,,,,,,,L2,5,A,1800,C+3,a4,r12,g5,t18,0,7,-4,36,5,0,0,0,-2,-2,2,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,101,-7.75,-6.5,-16.5,-8.75,-10,-1.93,11,25.02,48.19,25.02,48.19,0,124,68
,,,,,,,,,,,,,,,,,,L3,6,A,1800,C+3,a3,r5,g5,t21,0,6,-5,48,6,0,0,0,0,0,8,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,137,-11.5,-7,-3.75,7.75,3.25,0.98,1,23.11,47.04,22.85,46.78,62,123,110
,,,,,,,,,,,,,,,,,,L1,6,A,1800,C+3,a3,r5,g5,t21,0,6,-2,48,6,0,0,0,-1,1,1,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,7,-6.5,-6.75,-6.25,0.25,0.5,0.12,5,24.12,48.28,24,48.16,0,123,49
,,,,,,,,,,,,,,,,,,L2,6,A,1800,C+3,a3,r5,g5,t21,0,6,4,48,6,0,0,0,0,0,3,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,129,-7.25,-9,-7,0.25,2,-0.3,3,23.89,47.1,23.59,46.8,0,123,6.7
,,,,,,,,,,,,,,,,,,L3,5,A,1800,C+3,g2,r16,g2,t6,0,2,-5,3.4,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,dd,119,-4.75,-3.75,-4.75,0,-1,-0.96,6,24.97,49.26,25.15,49.44,0,115,5.3
,,,,,,,,,,,,,,,,,,L1,5,A,1800,C+3,g2,r16,g2,t6,0,2,1,3.4,9,0,0,0,0,-1,7,9,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,zc,7,-5.25,-5.5,-1,4.25,4.5,0.76,1,23.46,47.62,23.42,47.58,0,115,4.6
,,,,,,,,,,,,,,,,,,L2,5,A,1800,C+3,g2,r16,g2,t6,0,2,-3,3.4,9,0,0,0,-2,1,2,7,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,zc,77,-4.5,-5.25,-3.75,0.75,1.5,1.01,2,23.49,48.17,23.61,48.29,0,115,4.4
,,,,,,,,,,,,,,,,,,L2,5,A,1800,C+3,a1,r1,g3,t12,0,22,-5,34,1,0,8,23.4,0,0,0,5,0,4,0,23.5,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,dd,266,-3,-6.25,-22.25,-19.25,-16,-2.04,11,26.73,51.12,26.33,50.72,179,114,213
,,,,,,,,,,,,,,,,,,L3,5,A,1800,C+3,a1,r1,g3,t12,0,22,-14,34,1,0,8,23.4,0,0,0,5,0,4,0,23.5,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,301,-4,-6.5,-12,-8,-5.5,-1.08,12,25.59,50.08,25.29,49.78,0,114,72
,,,,,,,,,,,,,,,,,,L1,5,A,1800,C+3,a1,r1,g3,t12,0,22,-3,34,1,0,8,23.4,-1,0,3,11,0,4,0,23.5,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,ts,129,-7,-6.5,-4.75,2.25,1.75,-0.71,4,23.94,46.79,23.5,46.35,164,114,198
,,,,,,,,,,,,,,,,,,L3,3,A,1650,C+3,g1,r14,g1,t1,0,-32,4,8.7,4,0,0,0,0,0,7,11,0,8,0,22.8,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,133,-7,-6.75,-2.25,4.75,4.5,1.4,1,23.23,47.93,23.4,48.1,0,132,6.6
,,,,,,,,,,,,,,,,,,L1,3,A,1650,C+3,g1,r14,g1,t1,0,-32,6,8.7,4,0,0,0,0,-1,1,9,0,8,0,22.8,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,zc,84,-4.5,-3.25,-4.5,0,-1.25,0.64,8,22.38,46.05,23.18,46.85,0,132,6
,,,,,,,,,,,,,,,,,,L2,3,A,1650,C+3,g1,r14,g1,t1,0,-32,6,8.7,4,0,0,0,-1,-1,6,9,0,8,0,22.8,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,105,-4.75,-4.25,-2.5,2.25,1.75,0.37,1,22.82,46.31,23.27,46.76,0,132,8.2
,,,,,,,,,,,,,,,,,,L2,4,A,1650,C+3,a1,r1,g2,t9,0,-5,5,5.7,2,0,0,0,0,-1,-3,5,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,94,-5.25,-1.75,-2.75,2.5,-1,-0.34,8,23.42,46.2,23.24,46.02,0,131,9.8
,,,,,,,,,,,,,,,,,,L3,4,A,1650,C+3,a1,r1,g2,t9,0,-5,8,5.7,2,0,0,0,0,0,1,1,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,140,-1.5,-1.25,0.06,1.56,1.31,0.85,8,24.35,48.63,23.63,47.91,0,131,5.5
,,,,,,,,,,,,,,,,,,L1,4,A,1650,C+3,a1,r1,g2,t9,0,-5,3,5.7,2,0,0,0,0,-1,1,3,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,14,-1.5,-2.5,-2,-0.5,0.5,1.01,5,23.3,47.66,23.42,47.78,0,131,8.5
,,,,,,,,,,,,,,,,,,L3,7,A,1650,C+3,g3,r24,g3,t12,0,-9,-1,4.7,1,0,0,0,0,0,6,9,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,112,-7.75,-5.25,-1,6.75,4.25,0.31,1,23.6,47.44,23.51,47.35,27.3,127,32
,,,,,,,,,,,,,,,,,,L2,7,A,1650,C+3,g3,r24,g3,t12,0,-9,4,4.7,1,0,0,0,0,0,5,9,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,dd,88,-8,-8.75,-6.5,1.5,2.25,0.71,3,23.14,46.57,22.82,46.25,17.3,127,22
,,,,,,,,,,,,,,,,,,L1,7,A,1650,C+3,g3,r24,g3,t12,0,-9,7,4.7,1,0,0,0,-1,-1,6,9,0,0,0,0,0,22.9,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,14,-6.75,-6.75,-3.25,3.5,3.5,1.37,1,22.78,46.98,23,47.2,21.3,127,26
,,,,,,,,,,,,,,,,,,L1,6,A,1650,C+3,g1,r15,g2,t6,0,-4,2,6.4,9,1,0,0,0,5,3,9,0,6,0,22.8,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,112,-8,-3,-0.75,7.25,2.25,-0.44,6,23.83,47.27,23.93,47.37,3.6,125,10
,,,,,,,,,,,,,,,,,,L3,6,A,1650,C+3,g1,r15,g2,t6,0,-4,-1,6.4,9,1,0,0,0,0,7,9,0,6,0,22.8,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,168,-5.25,-4.75,-1.25,4,3.5,0.94,3,23.1,47.14,23.08,47.12,0,125,6.2
,,,,,,,,,,,,,,,,,,L2,6,A,1650,C+3,g1,r15,g2,t6,0,-4,2,6.4,9,1,0,0,0,0,2,5,0,6,0,22.8,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,tc,147,-3.5,-2.25,-1.25,2.25,1,1.15,4,23.05,47.62,23.47,48.04,0,125,2.9
,,,,,,,,,,,,,,,,,,L2,6,A,1650,C+3,g2,r16,g2,t8,0,7,1,10,8,1,0,0,-1,1,-8,7,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,88,-6.25,-2.25,-6.75,-0.5,-4.5,-0.24,12,23.07,45.55,22.74,45.22,0,124,9.9
,,,,,,,,,,,,,,,,,,L3,6,A,1650,C+3,g2,r16,g2,t8,0,7,-3,10,8,1,0,0,-1,-1,5,9,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,108,-6.5,-7.5,-4.25,2.25,3.25,-0.37,4,24.27,48.1,24.13,47.96,0,124,15
,,,,,,,,,,,,,,,,,,L1,6,A,1650,C+3,g2,r16,g2,t8,0,7,-2,10,8,1,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ss,77,-1.75,-1.75,-2,-0.25,-0.25,1.56,3,23.88,49.2,23.71,49.03,0,124,9.3
,,,,,,,,,,,,,,,,,,L1,4,A,1650,C+3,g2,r17,g1,t3,0,-5,2,17,6,0,0,0,0,5,5,11,0,0,0,0,0,22.8,0,FALSE,FALSE,FALSE,TRUE,FALSE,gz,14,-7.25,-8.25,-4,3.25,4.25,-0.4,3,22.95,45.57,23.07,45.69,123,123,140
,,,,,,,,,,,,,,,,,,L2,4,A,1650,C+3,g2,r17,g1,t3,0,-5,0,17,6,0,0,0,0,0,0,5,0,0,0,0,0,22.8,0,FALSE,FALSE,FALSE,TRUE,FALSE,dd,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0
,,,,,,,,,,,,,,,,,,L3,4,A,1650,C+3,g2,r17,g1,t3,0,-5,0,17,6,0,0,0,0,0,0,5,0,0,0,0,0,22.8,0,FALSE,FALSE,FALSE,TRUE,FALSE,dd,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0
,,,,,,,,,,,,,,,,,,L3,4,A,1650,C+3,g1,r13,g1,t2,0,-8,1,11,11,1,0,0,0,4,4,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,dd,101,-9.5,-9.25,-4.75,4.75,4.5,-0.68,3,22.49,44.37,22.58,44.46,46,122,57
,,,,,,,,,,,,,,,,,,L2,4,A,1650,C+3,g1,r13,g1,t2,0,-8,4,11,11,1,0,0,0,1,1,3,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,dd,80,-1.5,-1.5,-0.25,1.25,1.25,0.1,2,22.59,45.23,22.64,45.28,0,122,18
,,,,,,,,,,,,,,,,,,L1,4,A,1650,C+3,g1,r13,g1,t2,0,-8,2,11,11,1,0,0,0,-2,-2,3,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,dd,10,-1.25,-1.5,-4,-2.75,-2.5,-0.94,5,23.17,45.55,23.37,45.75,0,122,5.7
,,,,,,,,,,,,,,,,,,L1,4,A,1650,C+3,a3,r6,g2,t8,0,9,-4,19,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ss,77,-3,-3.5,-5.25,-2.25,-1.75,1.37,5,24.15,49.55,23.93,49.33,0,118,5.7
,,,,,,,,,,,,,,,,,,L2,4,A,1650,C+3,a3,r6,g2,t8,0,9,-1,19,5,0,0,0,-1,1,3,7,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,105,-3.25,-2.75,-1.5,1.75,1.25,0.3,3,23.26,46.75,23.17,46.66,0,118,12
,,,,,,,,,,,,,,,,,,L3,4,A,1650,C+3,a3,r6,g2,t8,0,9,-5,19,5,0,0,0,0,0,6,9,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,126,-6.75,-5.25,-3.25,3.5,2,0.91,1,23.51,47.56,23.02,47.07,0,118,11
,,,,,,,,,,,,,,,,,,L3,4,A,1650,C+3,a2,r4,g5,t22,1,24,-13,7.3,3,1,0,0,0,0,0,1,0,5,0,22.3,0,22.2,0,FALSE,TRUE,FALSE,TRUE,FALSE,tc,140,1.75,0.75,1.25,0.5,-0.5,0.24,4,23.45,47.49,23.48,47.52,0,119,3.8
,,,,,,,,,,,,,,,,,,L2,4,A,1650,C+3,a2,r4,g5,t22,0,24,0,7.3,3,1,0,0,0,0,-6,3,0,5,0,22.3,0,22.2,0,FALSE,TRUE,FALSE,TRUE,FALSE,tc,112,-2.75,-2.75,-3.75,-1,-1,-0.14,9,24.26,48.5,24.38,48.62,0,119,2.1
,,,,,,,,,,,,,,,,,,L1,4,A,1650,C+3,a2,r4,g5,t22,0,24,4,7.3,3,1,0,0,0,0,-7,1,0,5,0,22.3,0,22.2,0,FALSE,TRUE,FALSE,TRUE,FALSE,tc,91,1.5,1.25,-4.75,-6.25,-6,0.64,11,24.38,48.7,23.78,48.1,0,119,5.1
,,,,,,,,,,,,,,,,,,L2,6,A,1650,C+3,a4,r12,g5,t18,0,0,-2,12,7,0,0,0,0,0,0,7,0,0,0,0,0,22.2,0,FALSE,FALSE,FALSE,TRUE,FALSE,tz,84,-6.25,-4.5,-11,-4.75,-6.5,-2.51,6,24.26,45.79,23.99,45.52,37,119,49
,,,,,,,,,,,,,,,,,,L1,6,A,1650,C+3,a4,r12,g5,t18,0,0,2,12,7,0,0,0,-1,5,5,11,0,0,0,0,0,22.2,0,FALSE,FALSE,FALSE,TRUE,FALSE,gz,14,-4.5,-7,-2.25,2.25,4.75,-0.08,2,22.99,45.85,22.99,45.85,42,119,54
,,,,,,,,,,,,,,,,,,L3,6,A,1650,C+3,a4,r12,g5,t18,0,0,2,12,7,0,0,0,-1,0,5,7,0,0,0,0,0,22.2,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,238,-4,-3.5,-2,2,1.5,0.18,3,24.59,48.49,23.77,47.67,0,119,2.6
,,,,,,,,,,,,,,,,,,L2,5,A,1650,C+3,a3,r5,NULL,NULL,0,-25,-6,21,10,0,0,0,2,-3,-3,3,6,0,0,0,0,23.1,23.7,TRUE,FALSE,FALSE,TRUE,TRUE,tz,115,-2.25,-1.75,-3.75,-1.5,-2,-1.66,8,22.6,44.66,23.57,45.63,225,118,246
,,,,,,,,,,,,,,,,,,L1,5,A,1650,C+3,a3,r5,NULL,NULL,0,-25,-1,21,10,0,0,0,-1,1,-6,3,6,0,0,0,0,23.1,23.7,TRUE,FALSE,FALSE,TRUE,TRUE,zc,80,-2,-1.25,-6,-4,-4.75,-1.49,11,23.81,46.78,24.44,47.41,52,118,73
,,,,,,,,,,,,,,,,,,L3,5,A,1650,C+3,a3,r5,NULL,NULL,0,-25,-8,21,10,0,0,0,0,-4,-4,7,6,0,0,0,0,23.1,23.7,TRUE,FALSE,FALSE,TRUE,TRUE,gz,147,-4.25,-3.5,-15.75,-11.5,-12.25,-2.49,12,24.37,46.95,24.87,47.45,91,118,112
,,,,,,,,,,,,,,,,,,L3,7,A,1800,C+3,g2,r17,g3,t11,-1,7,15,15,11,1,6,22.9,0,0,0,5,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,dd,101,-1.5,-1,-2.25,-0.75,-1.25,0.55,7,23.39,46.99,23.35,46.95,0,133,8.1
,,,,,,,,,,,,,,,,,,L1,7,A,1800,C+3,g2,r17,g3,t11,-1,7,17,15,11,1,6,22.9,1,-1,2,9,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,70,-4.75,-4.5,-3,1.75,1.5,0.59,4,23.33,46.77,23.19,46.63,0,133,8.2
,,,,,,,,,,,,,,,,,,L2,7,A,1800,C+3,g2,r17,g3,t11,-1,7,16,15,11,1,6,22.9,0,-1,2,5,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,84,-2.25,-2,-1.75,0.5,0.25,1.05,4,23.28,47.11,23.1,46.93,0,133,7.6
,,,,,,,,,,,,,,,,,,L3,6,A,1800,C+3,a4,r9,g2,t7,0,-10,-2,52,5,1,0,0,0,0,5,9,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,224,-6,-4.75,-2.75,3.25,2,0.58,2,22.93,46.16,22.61,45.84,0,125,10
,,,,,,,,,,,,,,,,,,L2,6,A,1800,C+3,a4,r9,g2,t7,0,-10,-1,52,5,1,0,0,0,2,3,5,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,196,-3.25,-2,1,4.25,3,0.18,3,23.96,48.1,23.94,48.08,0,125,4.1
,,,,,,,,,,,,,,,,,,L1,6,A,1800,C+3,a4,r9,g2,t7,0,-10,3,52,5,1,0,0,-2,0,1,11,0,0,0,0,0,22.7,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,17,-5,-4.75,-5.5,-0.5,-0.75,-0.27,9,23.32,46.51,23.52,46.71,0,125,18
,,,,,,,,,,,,,,,,,,L1,7,A,1800,C+3,g2,r16,g5,t21,0,2,-1,53,10,0,0,0,0,1,1,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,10,-10.5,-6.25,-7,3.5,-0.75,-0.26,6,23.05,45.82,23.01,45.78,0,129,44
,,,,,,,,,,,,,,,,,,L3,7,A,1800,C+3,g2,r16,g5,t21,0,2,10,53,10,0,0,0,0,1,7,9,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,115,-3.5,-3,0.5,4,3.5,0.45,1,22.92,46.19,23.02,46.29,0,129,22
,,,,,,,,,,,,,,,,,,L2,7,A,1800,C+3,g2,r16,g5,t21,0,2,5,53,10,0,0,0,-2,0,4,11,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,ts,94,-5.5,-1.25,1,6.5,2.25,-0.23,2,23.98,47.53,23.88,47.43,0,129,6.7
,,,,,,,,,,,,,,,,,,L1,4,A,1800,C+3,a1,r2,g3,t10,0,-16,-11,8.5,12,0,12,22.7,0,1,-8,1,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,7,-0.5,0.06,-5.75,-5.25,-5.81,-0.26,9,24.09,48.46,24.41,48.78,0,119,8.7
,,,,,,,,,,,,,,,,,,L3,4,A,1800,C+3,a1,r2,g3,t10,0,-16,-11,8.5,12,0,12,22.7,0,0,0,5,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,tc,126,-0.75,-1.5,-2.5,-1.75,-1,-0.77,10,24.73,48.89,24.71,48.87,0,119,9.1
,,,,,,,,,,,,,,,,,,L2,4,A,1800,C+3,a1,r2,g3,t10,0,-16,-9,8.5,12,0,12,22.7,-1,2,-1,3,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,zc,91,-1.75,-1.5,-0.5,1.25,1,0.7,6,23.62,48.06,23.56,48,0,119,7.1
,,,,,,,,,,,,,,,,,,L3,5,A,1800,C+3,a1,r1,g2,t5,0,18,3,7.1,1,0,0,0,0,0,0,5,0,0,0,0,0,22.4,0,FALSE,FALSE,FALSE,TRUE,FALSE,tc,126,-4.5,-2.75,-0.5,4,2.25,-0.22,3,24.68,48.56,24.16,48.04,0,127,2.5
,,,,,,,,,,,,,,,,,,L2,5,A,1800,C+3,a1,r1,g2,t5,0,18,1,7.1,1,0,0,0,0,-1,1,5,0,0,0,0,0,22.4,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,77,-2.5,-2.5,-3.25,-0.75,-0.75,0.59,8,23.81,48.01,23.63,47.83,0,127,3.1
,,,,,,,,,,,,,,,,,,L1,5,A,1800,C+3,a1,r1,g2,t5,0,18,0,7.1,1,0,0,0,1,0,3,11,0,0,0,0,0,22.4,0,FALSE,FALSE,FALSE,TRUE,FALSE,zc,17,-4.5,-3.75,-3.5,1,0.25,-0.2,7,23.67,46.78,23.31,46.42,38.9,127,46
,,,,,,,,,,,,,,,,,,L3,4,A,1800,C+3,g1,r15,g1,t1,0,2,7,3.5,4,0,0,0,0,0,0,5,0,7,0,23,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,dd,137,-4.25,-3.75,-2.25,2,1.5,0.35,3,24.05,48.23,23.97,48.15,71.5,121,75
